//ID	Name	RGB color	Sound effect ID	Color RGB	Lighting RGB value	Lighting angle	Is it city?
1	#T_AREASET_TXT_1#	41,107,214	2	114,148,155	255,255,255	-1.0,-1.0,-1.0	1
2	#T_AREASET_TXT_2#	235,44,169	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
3	#T_AREASET_TXT_3#	3,33,187	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
4	#T_AREASET_TXT_4#	239,95,95	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
5	#T_AREASET_TXT_5#	76,252,16	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
6	#T_AREASET_TXT_6#	236,190,212	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
7	#T_AREASET_TXT_7#	237,81,6	12	86,129,130	255,255,255	-1.0,-1.0,-1.0	0
8	#T_AREASET_TXT_8#	69,77,153	3	120,120,110	255,255,255	-1.0,-1.0,-1.0	1
9	#T_AREASET_TXT_9#	37,142,81	12	150,150,151	255,255,255	-1.0,-1.0,-1.0	0
10	#T_AREASET_TXT_10#	101,83,5	3	120,120,152	255,255,255	-1.0,-1.0,-1.0	0
11	#T_AREASET_TXT_11#	92,51,236	11	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
12	#T_AREASET_TXT_12#	63,84,22	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
13	#T_AREASET_TXT_13#	167,34,205	4	145,150,102	255,255,255	-1.0,-1.0,-1.0	1
14	#T_AREASET_TXT_14#	204,143,96	4	145,150,103	255,255,255	-1.0,-1.0,-1.0	0
15	#T_AREASET_TXT_15#	212,243,78	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
16	#T_AREASET_TXT_16#	74,96,61	12	145,150,105	255,255,255	-1.0,-1.0,-1.0	0
17	#T_AREASET_TXT_17#	203,238,47	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
18	#T_AREASET_TXT_18#	104,22,117	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
