//编号	被绑定实体ID	事件类型	实体摆放位置	实体摆放方向	目标地图名	目标地图位置	触发判定条件	名称
1	193	1	9200,49400	-1	L4MAP	11600,48100	1	1
2	193	1	11300,48500	-1	L4MAP	9400,46900	1	2
3	193	1	8900,46500	-1	L4MAP	8900,45000	1	3
4	193	1	9300,45300	-1	L4MAP	13300,44500	1	4
5	193	1	12900,44100	-1	L4MAP	13300,42900	1	5
6	193	1	12900,42500	-1	L4MAP	14500,42500	1	6
7	193	1	14900,42900	-1	L4MAP	14500,44100	1	7
8	193	1	14900,44500	-1	L4MAP	8100,41700	1	8
9	193	1	8500,42100	-1	L4MAP	8900,39400	1	9
10	193	1	9300,39300	-1	L4MAP	10500,38900	1	10
11	193	1	10900,38900	-1	L4MAP	12100,38900	1	11
12	193	1	12500,38900	-1	L4MAP	15300,35700	1	12
13	193	1	15300,35300	-1	L4MAP	14100,35700	1	13
14	193	1	13700,35300	-1	L4MAP	14900,33700	1	14
15	193	1	14500,33700	-1	L4MAP	13300,33700	1	15
16	193	1	12900,34100	-1	L4MAP	14400,37200	1	16
17	193	1	12900,37100	-1	L4MAP	11100,36400	1	17
18	193	1	8800,36300	-1	L4MAP	13000,50000	1	18
