//序号	NPC名字	NPC类型	Chr索引ID	小地图显示	坐标起点	坐标终点	NPC面向	区域	区域编号	NPC脚本	消息處理	检测状态
0	沙岚传送使·美斯	1	424	7	91816,356229	91816,356229	204	沙岚新城	13	0	GoToWhere	0
1	大神官·甘地维拉	1	23	0	86299,350092	86299,350092	264	沙岚新城	13	0	r_talk47	0
2	氏族长·阿布多罗.李	1	420	0	89804,364010	89804,364010	174	沙岚新城	13	0	r_talk48	0
3	道具店主·欧翟	1	19	13	86214,359121	86214,359121	204	沙岚新城	13	0	r_talk49	0
4	服装店主·莫亚	1	17	2	89463,360213	89463,360213	174	沙岚新城	13	0	r_talk50	0
5	银行出纳·朱迪斯	1	412	0	90637,353900	90637,353900	174	沙岚新城	13	0	r_talk51	0
6	港卫队成员·鹧鸪草	1	12	0	86734,366071	86734,366071	219	沙岚新城	13	0	r_talk52	0
7	铁匠·铜铜鼓	1	21	1	90260,349526	90260,349526	219	沙岚新城	13	0	r_talk53	0
8	少妇·莉娜	1	30	0	88307,352019	88307,352019	204	沙岚新城	13	0	r_talk54	0
9	杂货商人·艾墨	1	408	12	84040,358567	84040,358567	189	沙岚新城	13	0	r_talk55	0
10	旅店老板·哈根	1	411	0	81035,349813	81035,349813	144	沙岚新城	13	0	r_talk56	0
11	护士小姐·兰兰	1	407	3	89025,356925	89025,356925	182	沙岚新城	13	0	r_talk57	0
12	海盗·德克	1	17	0	79222,367002	79222,367002	54	沙岚新城	13	0	r_talk58	0
13	新手指导·拉丝碧	1	11	15	87614,357250	87614,357250	174	沙岚新城	13	0	r_talk59	0
14	船工·弗兰克	1	404	0	90111,366888	90111,366888	-94	沙岚新城	13	0	r_talk60	0
15	海军办事处官员·艾微尔少校	1	443	0	86507,364804	86507,364804	174	沙岚新城	13	0	r_talk61	0
16	沙岚城商会会长·古利击	1	415	0	87362,354566	87362,354566	174	沙岚新城	13	0	r_talk62	0
17	路人·珊瑚虫	1	19	0	84634,349945	84634,349945	174	沙岚新城	13	0	r_talk63	0
18	小羊·威利	1	435	0	89875,368331	89875,368331	183	沙岚新城	13	0	r_talk64	0
19	会长助理·提司面包	1	17	0	87171,354774	87171,354774	159	沙岚新城	13	0	r_talk65	0
20	路人·乙	1	403	0	79792,355469	79792,355469	324	沙岚新城	13	0	r_talk66	0
21	沙匪·闪光侠八世	1	425	0	108068,308688	108068,308688	114	南部沙漠	15	0	r_talk67	0
22	人鱼王子·哈沙特	1	422	0	125471,349171	125471,349171	319	帕克荒漠	16	0	r_talk68	0
23	乐器专家·沙梅洱	1	424	0	66465,309367	66465,309367	204	帕克荒漠	16	0	r_talk69	0
24	圣女·艾达	1	430	0	86248,330381	86248,330381	159	沙岚旧城	14	0	r_talk70	0
25	路人·法利尔	1	403	0	93176,352977	93176,352977	150	沙岚新城	13	0	r_talk71	0
26	公会会长·佛瑞	1	14	6	83171,354853	83171,354853	234	沙岚新城	13	0	r_talk72	0
