//ID	Name	Activation Interval	Transfer Persists Duration	Use Effect Script	Remove Effect Script	Can it be Manually Cancelled?	Can Move?	Can use Skill?	Can use Normal Attack?	Can Trade?	Can use Items?	Can Attack?	Can be Attacked?	Can be Item Target?	Can be Skill Target?	Can be Invisible?	Can be Seen as Yourself?	Can use Inventory?	Can Talk to NPC?	Remove Effect ID	Screen Effect	Client Performance	Client Display ID	Ground Status Effect	Center Display	Knock out Display	Special Effect of Recipe	Dummy 1	Display Effect When Attacked With?	Dummy 2
1	#T_SKILLEFF_TXT_1#	1	State_Rs_Tran	State_Rs_Add	State_Rs_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	112	0	0	115	2	0	0
2	#T_SKILLEFF_TXT_2#	3	State_Hfwq_Tran	State_Hfwq_Add	State_Hfwq_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	268	1	0	166	-1	0	0
3	#T_SKILLEFF_TXT_3#	-1	State_Zzzh_Tran	State_Zzzh_Add	State_Zzzh_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	158	-1	0	0
4	#T_SKILLEFF_TXT_4#	1	State_Zd_Tran	State_Zd_Add	State_Zd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	250	2	0	0
5	#T_SKILLEFF_TXT_5#	-1	State_Sdbz_Tran	State_Sdbz_Add	State_Sdbz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	173	0	0	174	-1	0	0
6	#T_SKILLEFF_TXT_6#	-1	State_Syzy_Tran	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	-1	176	1	0	0	-1	0	0
7	#T_SKILLEFF_TXT_7#	-1	State_Synz_Tran	State_Synz_Add	State_Synz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	240	-1	0	0
8	#T_SKILLEFF_TXT_8#	-1	0	State_Abhl_Add	State_Abhl_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	306	1	0	0
9	#T_SKILLEFF_TXT_9#	2	State_Larea_Tran	State_Larea_Add	State_Larea_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	7	292	0	0	0	0	0	0
10	#T_SKILLEFF_TXT_10#	2	State_Warea_Tran	State_Warea_Add	State_Warea_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	8	293	0	0	0	0	0	0
11	#T_SKILLEFF_TXT_11#	2	State_Farea_Tran	State_Farea_Add	State_Farea_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	291	0	0	0	0	0	0
12	#T_SKILLEFF_TXT_12#	-1	State_Xw_Tran	State_Xw_Add	State_Xw_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	280	1	0	0	0	0	0
13	#T_SKILLEFF_TXT_13#	-1	State_Mw_Tran	State_Mw_Add	State_Mw_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	283	1	0	0	0	0	0
14	#T_SKILLEFF_TXT_14#	2	State_Lm_Tran	State_Lm_Add	State_Lm_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	290	1	0	0	0	0	0
15	#T_SKILLEFF_TXT_15#	-1	0	State_Chf_Add	State_Chf_Rem	4	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0
16	#T_SKILLEFF_TXT_16#	1	0	State_Slzb_Add	State_Slzb_Rem	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	302	-1	0	0
17	#T_SKILLEFF_TXT_17#	-1	0	State_PKMNYS_Add	State_PKMNYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0
18	#T_SKILLEFF_TXT_18#	-1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	-1	0	0	0	0	0	0	0
