//ID	Name	Not Life Skill?	Class Requirement	Left Hand Requirement	Right Hand Requirement	Armor Requirement	Conch Usage	Skill Phase	Skill Type	Useful/Harmful	Learning Level	Prerequisite	Skill Points Consumption	Discharged Status	Apply Point	Cast Range	Process Target	Attack Mode	Angle	Radius	Region Shape	Prophase Management Formula	Add Surface Formula	SP Formula	Durability Consumption Formula	Top-up Consumption Formula	Region Formula	Discharge Phase Formula	Effect Phase Formula	Positive Effect Formula	Opposing Effect Formula	Bind Status ID Can Removed Manually	Self Parameter	Self Effect	Consumable	Duration	Target Parameter	Splash Parameter	Duration on Target	Splash Persists Effect	Morph ID	Summon ID	Discharge Duration	Repeated Discharge Duration	Damage Effect	Play Effect	Action	Keyframe	Attack Sound Effect	Character Dummy	Character Effect	Base Standard Value	Item Dummy	Item Effect	Item Effect 2	Path of Flight Keyframe	Character Dummy	Item Dummy 2	Path of Flight Effect	Path of Flight Speed	Attacked Sound Effect	Dummy	Character Attacked Effect	Effect Duration Point	Surface Attacked Effect	Water Surface Effect	Icon	Play Count	Command	Description	Effect	Consumption
1	#T_SKILLINFO_TXT_1#	1	1,10;-2,-2;-2,-2;-2,-2	1,1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	2	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	1	400	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1	1	7,0,0,0,0,0,0,0,0,0	0	105	2,0	100,0	0,0	-1	0,0	0,0	-1	-1	-1	0	0	129	2	101	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_1#	#T_SKILLINFO_TXT_F_1#	#T_SKILLINFO_TXT_U_1#
2	#T_SKILLINFO_TXT_2#	1	1,10;-2,-2;-2,-2;-2,-2	1,0;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	3	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	1	800	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1500	1	1	11,0,0,0,0,0,0,0,0,0	0	106	2,0	100,0	0,0	0	102,0	0,0	-1	-1	-1	0	0	130	2	103	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_2#	#T_SKILLINFO_TXT_F_2#	#T_SKILLINFO_TXT_U_2#
3	#T_SKILLINFO_TXT_3#	1	1,10;-2,-2;-2,-2;-2,-2	1,1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	3	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	1	800	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2	1	11,0,0,0,0,0,0,0,0,0	-1	107	9,0	104,0	0,0	-1	0,0	0,0	0	9	-1	1010	1600	131	2	105	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_3#	#T_SKILLINFO_TXT_F_3#	#T_SKILLINFO_TXT_U_3#
4	#T_SKILLINFO_TXT_4#	1	1,10;-2,-2;-2,-2;-2,-2	1,1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	3	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	1	800	4	2	45	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2	1	11,0,0,0,0,0,0,0,0,0	-1	108	9,0	106,0	0,0	-1	0,0	0,0	0	9	-1	1011	800	132	2	107	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_4#	#T_SKILLINFO_TXT_F_4#	#T_SKILLINFO_TXT_U_4#
5	#T_SKILLINFO_TXT_5#	1	2,10;-2,-2;-2,-2;-2,-2	1,3;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	2	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	1	1000	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2000	2	1	7,0,0,0,0,0,0,0,0,0	-1	109	6,0	108,0	0,0	-1	0,0	0,0	0	9	-1	1012	1600	133	2	109	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_5#	#T_SKILLINFO_TXT_F_5#	#T_SKILLINFO_TXT_U_5#
6	#T_SKILLINFO_TXT_6#	1	2,10;-2,-2;-2,-2;-2,-2	1,3;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	3	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	1	1000	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	sklv(0)*600	2	1	7,0,0,0,0,0,0,0,0,0	-1	110	6,0	110,0	0,0	-1	0,0	0,0	0	9	-1	1013	1600	134	-1	111	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_6#	#T_SKILLINFO_TXT_F_6#	#T_SKILLINFO_TXT_U_6#
7	#T_SKILLINFO_TXT_7#	1	2,10;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,4;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	3	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	1	1000	4	2	45	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	2	1	7,0,0,0,0,0,0,0,0,0	-1	111	9,0	112,0	0,0	-1	0,0	0,0	0	-1	0	1014	2000	135	2	113	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_7#	#T_SKILLINFO_TXT_F_7#	#T_SKILLINFO_TXT_U_7#
8	#T_SKILLINFO_TXT_8#	1	2,10;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,4;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	3	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	1	1000	4	3	360	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	2	1	7,0,0,0,0,0,0,0,0,0	-1	112	9,0	114,0	0,0	-1	0,0	0,0	0	-1	0	1015	1600	136	2	115	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_8#	#T_SKILLINFO_TXT_F_8#	#T_SKILLINFO_TXT_U_8#
9	#T_SKILLINFO_TXT_9#	1	3,10;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	2	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	2	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	1	1	1,0,0,0,0,0,0,0,0,0	-1	113	1,0	135,0	0,0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	116	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_9#	#T_SKILLINFO_TXT_F_9#	#T_SKILLINFO_TXT_U_9#
10	#T_SKILLINFO_TXT_10#	1	3,10;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	3	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	3	1500	4	2	360	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	2	1	1,0,0,0,0,0,0,0,0,0	-1	114	2,0	117,0	0,0	-1	0,0	0,0	-1	2	-1	1016	1200	138	-1	0	0	136	0	0	0	0,0	#T_SKILLINFO_TXT_D_10#	#T_SKILLINFO_TXT_F_10#	#T_SKILLINFO_TXT_U_10#
11	#T_SKILLINFO_TXT_11#	1	3,10;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	3	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	3	1000	4	2	45	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	2	1	1,0,0,0,0,0,0,0,0,0	-1	115	1,0	137,0	0,0	-1	0,0	0,0	-1	2	-1	1017	1400	139	-1	118	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_11#	#T_SKILLINFO_TXT_F_11#	#T_SKILLINFO_TXT_U_11#
12	#T_SKILLINFO_TXT_12#	1	3,10;-2,-2;-2,-2;-2,-2	1,0;1,6;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,0;1,6;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	3	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	1	450	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1	1	11,0,0,0,0,0,0,0,0,0	0	116	9,0	119,0	0,0	-1	0,0	0,0	-1	-1	-1	0	0	140	-1	138	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_12#	#T_SKILLINFO_TXT_F_12#	#T_SKILLINFO_TXT_U_12#
13	#T_SKILLINFO_TXT_13#	1	4,10;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	2	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	1	1000	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	100000	2	1	11,0,0,0,0,0,0,0,0,0	-1	117	9,0	120,0	0,0	-1	0,0	0,0	0	9	-1	1018	500	141	-1	139	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_13#	#T_SKILLINFO_TXT_F_13#	#T_SKILLINFO_TXT_U_13#
14	#T_SKILLINFO_TXT_14#	1	4,10;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	2	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	1	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	100000	1	1	11,0,0,0,0,0,0,0,0,0	-1	118	9,0	140,0	0,0	-1	0,0	0,0	-1	-1	-1	0	0	142	-1	0	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_14#	#T_SKILLINFO_TXT_F_14#	#T_SKILLINFO_TXT_U_14#
15	#T_SKILLINFO_TXT_15#	1	4,10;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	2	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	3	1000	4	2	360	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2	1	11,0,0,0,0,0,0,0,0,0	-1	119	-1,0	141,0	0,0	-1	0,0	0,0	0	2	-1	1019	600	143	2	121	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_15#	#T_SKILLINFO_TXT_F_15#	#T_SKILLINFO_TXT_U_15#
16	#T_SKILLINFO_TXT_16#	1	4,10;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	3	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	3	1500	4	2	360	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	2	1	11,0,0,0,0,0,0,0,0,0	-1	120	0,0	142,0	0,0	-1	0,0	0,0	0	9	-1	1020	600	-1	2	122	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_16#	#T_SKILLINFO_TXT_F_16#	#T_SKILLINFO_TXT_U_16#
17	#T_SKILLINFO_TXT_17#	1	6,10;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	2	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	3	1000	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000-sklv(0)*500	1	1	11,0,0,0,0,0,0,0,0,0	-1	121	-1,0	123,0	0,0	-1	0,0	0,0	-1	-1	-1	0	0	145	-1	124	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_17#	#T_SKILLINFO_TXT_F_17#	#T_SKILLINFO_TXT_U_17#
18	#T_SKILLINFO_TXT_18#	1	6,10;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	2	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	3	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	1	11,0,0,0,0,0,0,0,0,0	-1	122	-1,0	143,0	0,0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_18#	#T_SKILLINFO_TXT_F_18#	#T_SKILLINFO_TXT_U_18#
19	#T_SKILLINFO_TXT_19#	1	6,10;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	3	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	3	1000	2	2	360	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12000	1	1	11,0,0,0,0,0,0,0,0,0	-1	123	9,0	125,0	0,0	-1	0,0	0,0	-1	-1	-1	0	0	147	2	126	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_19#	#T_SKILLINFO_TXT_F_19#	#T_SKILLINFO_TXT_U_19#
20	#T_SKILLINFO_TXT_20#	1	6,10;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	3	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	3	1000	2	2	360	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	1	1	11,0,0,0,0,0,0,0,0,0	-1	124	2,0	144,0	0,0	-1	0,0	0,0	-1	-1	-1	0	0	148	2	145	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_20#	#T_SKILLINFO_TXT_F_20#	#T_SKILLINFO_TXT_U_20#
22	#T_SKILLINFO_TXT_22#	1	-1,10;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	1,-1;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2;-2,-2	-1,-1,0	5	1	0	-1	-1,-1;-2,-2;-2,-2	1	1	1	400	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11,0,0,0,0,0,0,0,0,0	-1	-1	-1,0	147,0	0,0	-1	0,0	0,0	-1	-1	-1	0	0	150	-1	0	0	0	0	0	0	0,0	#T_SKILLINFO_TXT_D_22#	#T_SKILLINFO_TXT_F_22#	#T_SKILLINFO_TXT_U_22#
